device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 6.8K
training episode combinations 900 | 50000 steps
step   5000  L=0.3848  src=0.0725  tgt=0.1559  trans=0.1562  gain=-0.0003  |dz|=1.204  3.6 it/s
  [diagnostics @ 5000] loss_correct=0.0921  loss_zero=0.0971  loss_shuffled=0.1049  loss_random=0.0980  loss_target_only=0.0922  loss_mean_z=0.0966  r_basis=0.0435  |dz_transport|=1.5037  z_s_vs_enc_rel=3.9467  z_spread_rel=1.0769  gain_vs_zero=0.0050  gain_vs_shuffled=0.0128  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0045  delta_task=0.0045  z_center_norm=0.0657  task_specific_frac=0.9031
step   5050  L=0.0954  src=0.0507  tgt=0.0226  trans=0.0220  gain=+0.0006  |dz|=1.522  3.6 it/s
step   5100  L=0.1034  src=0.0524  tgt=0.0255  trans=0.0254  gain=+0.0002  |dz|=1.501  3.6 it/s
step   5150  L=0.4049  src=0.0871  tgt=0.1588  trans=0.1589  gain=-0.0002  |dz|=1.222  3.6 it/s
step   5200  L=0.1650  src=0.0943  tgt=0.0355  trans=0.0351  gain=+0.0005  |dz|=1.641  3.6 it/s
step   5250  L=0.2710  src=0.0717  tgt=0.0996  trans=0.0996  gain=+0.0000  |dz|=1.106  3.6 it/s
step   5300  L=0.3870  src=0.0447  tgt=0.1711  trans=0.1711  gain=-0.0000  |dz|=1.118  3.6 it/s
step   5350  L=0.1667  src=0.0742  tgt=0.0466  trans=0.0459  gain=+0.0007  |dz|=1.556  3.6 it/s
step   5400  L=0.1020  src=0.0471  tgt=0.0275  trans=0.0273  gain=+0.0001  |dz|=1.269  3.6 it/s
step   5450  L=0.3621  src=0.0418  tgt=0.1601  trans=0.1601  gain=+0.0000  |dz|=1.083  3.6 it/s
step   5500  L=0.1378  src=0.0844  tgt=0.0268  trans=0.0265  gain=+0.0004  |dz|=1.506  3.6 it/s
  [diagnostics @ 5500] loss_correct=0.0844  loss_zero=0.0884  loss_shuffled=0.0962  loss_random=0.0885  loss_target_only=0.0846  loss_mean_z=0.0878  r_basis=0.0395  |dz_transport|=1.3612  z_s_vs_enc_rel=3.5575  z_spread_rel=1.1264  gain_vs_zero=0.0040  gain_vs_shuffled=0.0118  gain_vs_target_only=0.0002  gain_vs_mean_z=0.0035  delta_task=0.0035  z_center_norm=0.1069  task_specific_frac=0.8602
step   5550  L=0.1376  src=0.0646  tgt=0.0364  trans=0.0366  gain=-0.0002  |dz|=1.220  3.6 it/s
step   5600  L=0.1169  src=0.0772  tgt=0.0199  trans=0.0198  gain=+0.0001  |dz|=1.238  3.6 it/s
step   5650  L=0.1563  src=0.0814  tgt=0.0374  trans=0.0374  gain=-0.0000  |dz|=1.243  3.6 it/s
step   5700  L=0.1248  src=0.0552  tgt=0.0348  trans=0.0347  gain=+0.0001  |dz|=1.540  3.6 it/s
step   5750  L=0.1383  src=0.0715  tgt=0.0334  trans=0.0333  gain=+0.0001  |dz|=1.542  3.6 it/s
step   5800  L=0.3728  src=0.0603  tgt=0.1562  trans=0.1563  gain=-0.0001  |dz|=1.058  3.6 it/s
step   5850  L=0.1104  src=0.0551  tgt=0.0276  trans=0.0276  gain=+0.0000  |dz|=1.568  3.6 it/s
step   5900  L=0.0761  src=0.0503  tgt=0.0128  trans=0.0129  gain=-0.0001  |dz|=1.422  3.6 it/s
step   5950  L=0.4177  src=0.0536  tgt=0.1819  trans=0.1821  gain=-0.0001  |dz|=1.017  3.6 it/s
step   6000  L=0.1502  src=0.0669  tgt=0.0416  trans=0.0415  gain=+0.0001  |dz|=1.523  3.6 it/s
